Method,Name,Error,Occurrences,First Seen,Last Seen
GET,/api/v1/reports/latest,CatchResponseError('Status: 0'),1,2026-08-24T11:14:00Z,2026-08-24T11:14:00Z
POST,/api/v1/analyze/repo,CatchResponseError('Status: 0'),1,2026-08-24T11:14:00Z,2026-08-24T11:14:00Z
